system_name,metric,value_low,value_high,unit,source_key,page,quoted_text,note
NERVA NRX,isp,825,825,s,frisbee2003,1132,"This engine was designed to operate at 1500 MW, provide 333 kN of thrust at a specific impulse of 825 lbf-s/lbm (8.09 km/s) and have an engine weight of 10.4 metric tons.","Isp taken from the lbf-s/lbm figure, numerically equal to seconds. Design specification for the flight-rated NERVA engine resulting from Project Rover; 23 reactors/engines were built and tested 1960s-early 1970s. Ground-tested hardware, never flown."
NERVA NRX,thrust,333000,333000,N,frisbee2003,1132,"This engine was designed to operate at 1500 MW, provide 333 kN of thrust at a specific impulse of 825 lbf-s/lbm (8.09 km/s) and have an engine weight of 10.4 metric tons.","333 kN as published. Design specification for the flight-rated NERVA engine resulting from Project Rover; 23 reactors/engines were built and tested 1960s-early 1970s. Ground-tested hardware, never flown."
NERVA NRX,engine_mass,10400,10400,kg,frisbee2003,1132,"This engine was designed to operate at 1500 MW, provide 333 kN of thrust at a specific impulse of 825 lbf-s/lbm (8.09 km/s) and have an engine weight of 10.4 metric tons.","10.4 metric tons as published. Design specification for the flight-rated NERVA engine resulting from Project Rover; 23 reactors/engines were built and tested 1960s-early 1970s. Ground-tested hardware, never flown."
Gas-core fission,isp,2000,7000,s,frisbee2003,1132,"Table 3 Overview of Nuclear propulsion concepts | Gas core | 2,000-7,000 | 20-70",Range as published; taken from the lbf-s/lbm column (numerically equal to seconds). Theoretical concept - no thrust or mass figure exists.
Antimatter annihilation,isp,10000000,10000000,s,frisbee2003,1132,Table 3 Overview of Nuclear propulsion concepts | Antimatter/matter annihilation | 10^7 | 10^8,"Taken from the lbf-s/lbm column (10^7, numerically equal to seconds). The adjacent km/s column reads 10^8, which is 333x the speed of light - a unit error in the published table. See docs/data-collection.md. Theoretical concept - no thrust or mass figure exists."
RS-25,isp,452,452,s,vanhooser2011,"3, Figure 2",Specific impulse at altitude | 452 sec,"Source labels this 'at altitude', not 'vacuum'; wording preserved. Aggregators give 452.3 s; NASA figure used."
RS-25,thrust,2088208.7408593541,2278694.935091346,N,vanhooser2011,"3, Figure 2","Rated power level (RPL) | 469,448 lb ... Full power level (109% RPL) | 512,271 lb","Vacuum. Range spans 100% rated power level (469,448 lbf) to 109% full power level (512,271 lbf). Converted at 1 lbf = 4.4482216153 N. Corroborated by Ballard 2017: '2279 kN of vacuum thrust'."
RS-25,engine_mass,3514.43368276,3514.43368276,kg,vanhooser2011,"3, Figure 2","Weight | 7,748 lb","Published as 7,748 lb. NOTE: aggregator sources (not cited here) give 7,004 lb / 3,177 kg, a ~10% discrepancy, probably a different definition of included hardware. No retrieved source states which. NASA figure used."
RL10B-2,isp,465.5,465.5,s,l3harris_rl10,spec table,Specific Impulse: 465.5 sec,"Vendor table is jointly labelled 'Models RL10B-2, RL10C-2-1'; figures cannot be attributed to the RL10B-2 alone with certainty. No vacuum/sea-level label given, though the engine operates only in vacuum."
RL10B-2,thrust,110093.48497867498,110093.48497867498,N,l3harris_rl10,spec table,"Thrust: 24,750 lbf",Converted at 1 lbf = 4.4482216153 N. Shared-table caveat as above.
RL10B-2,engine_mass,301.18533368000004,301.18533368000004,kg,l3harris_rl10,spec table,Weight: 664 lbs,"Source says 'Weight', not 'dry weight'. Do not assume this is dry mass. Converted at 1 lb = 0.45359237 kg."
R-4D-11,isp,311,315.5,s,ajrd_biprop2023,1,164:1 = 311 sec (lbf/lbm) ; 300:1= 315.5 sec (lbf/lbm),Range spans the two published nozzle expansion ratios (164:1 and 300:1). No vacuum/sea-level label in source; engine is in-space only.
R-4D-11,thrust,378,511,N,ajrd_biprop2023,1,378-511 N,"Published range, already SI."
R-4D-11,engine_mass,3.76,4.31,kg,ajrd_biprop2023,1,164:1= 3.76 kg ; 300:1= 4.31 kg,"Range spans the two published expansion ratios, matching the Isp range."
MR-103J,isp,202,224,s,l3harris_monoprop2025,1,202-224,Published range. Datasheet row 'MR-103J 0.2 lbf'.
MR-103J,thrust,0.19,1.19,N,l3harris_monoprop2025,1,0.043-0.27 (0.19-1.19),"Published range; source gives lbf with SI in parentheses. Blowdown monopropellant thruster, so thrust varies with tank pressure."
MR-103J,engine_mass,0.37,0.37,kg,l3harris_monoprop2025,1,0.82 (0.37),Source gives lbm with kg in parentheses.
