source_key,citation,authors,year,publisher,source_type,url,local_file
frisbee2003,"Frisbee, R.H., ""Advanced Space Propulsion for the 21st Century"", Journal of Propulsion and Power, Vol. 19, No. 6, pp. 1129-1154",Robert H. Frisbee,2003,American Institute of Aeronautics and Astronautics,tier1_peer_reviewed,https://doi.org/10.2514/2.6948,adv_space_propulsion_21st.pdf
levchenko2018,"Levchenko, I., Xu, S., Teel, G., Mariotti, D., Walker, M.L.R., Keidar, M., ""Recent progress and perspectives of space electric propulsion systems based on smart nanomaterials"", Nature Communications, Vol. 9, Article 879",I. Levchenko et al.,2018,Springer Nature,tier1_peer_reviewed,https://doi.org/10.1038/s41467-017-02269-7,s41467-017-02269-7.pdf
koroteev2015,"Koroteev, A.S., Oshev, Yu.A., Popov, S.A., Karevsky, A.V., Solodukhin, A.Ye., Zakharenkov, L.E., Semenkin, A.V., ""Nuclear Power Propulsion System for Spacecraft"", Thermal Engineering, Vol. 62, No. 13, pp. 971-980",A.S. Koroteev et al.,2015,Pleiades Publishing,tier1_peer_reviewed,https://doi.org/10.1134/S0040601515130078,S0040601515130078.pdf
bennett2021,"Bennett, G.L., ""Introduction to Space Nuclear Power and Propulsion"", Encyclopedia of Nuclear Energy",Gary L. Bennett,2021,Elsevier,tier1_peer_reviewed,https://doi.org/10.1016/B978-0-12-819725-7.00133-1,Introduction_to_Space_Nuclear_Power_and.pdf
stockett2019,"Stockett, P.W., ""Feasibility and Design Requirements of Fission Powered Magnetic Fusion Propulsion Systems for a Manned Mars Mission"", MS thesis, School of Nuclear Engineering",Paul W. Stockett,2019,Purdue University,tier1_peer_reviewed,,Feasibility and Design Requirements of Fission Powered Magnetic Fusion Propulsion Systems for a Manned Mars Mission-Grad School Submission.pdf
vanhooser2011,"Van Hooser, K.P. and Bradley, D.P., ""Space Shuttle Main Engine - The Relentless Pursuit of Improvement"", NTRS document 20120001539",Katherine P. Van Hooser; Douglas P. Bradley,2011,NASA Marshall Space Flight Center / AIAA,tier1_agency,https://ntrs.nasa.gov/api/citations/20120001539/downloads/20120001539.pdf,
ballard2017,"Ballard, R.O., ""Next-Generation RS-25 Engines for the NASA Space Launch System"", 7th European Conference for Aeronautics and Space Sciences, NTRS document 20170008958",Richard O. Ballard,2017,NASA Marshall Space Flight Center,tier1_agency,https://ntrs.nasa.gov/api/citations/20170008958/downloads/20170008958.pdf,
l3harris_rl10,"L3Harris Technologies (Aerojet Rocketdyne), ""RL10 Engine"" capability page, specification table headed ""Models RL10B-2, RL10C-2-1""",L3Harris Technologies,2026,L3Harris Technologies,tier2_vendor,https://www.l3harris.com/all-capabilities/rl10-engine,
ajrd_biprop2023,"Aerojet Rocketdyne (L3Harris), ""Bipropellant Rocket Engines - Enabling In-Space Operations and Exploration"" specification sheet, doc la0151 23",Aerojet Rocketdyne,2023,L3Harris Technologies,tier2_vendor,https://www.l3harris.com/sites/default/files/2023-07/AJRD-LHX_Bipropellant_Rocket_Engines_SpecSheet_CMYK_061423_APPROVED.pdf,
l3harris_monoprop2025,"L3Harris Technologies (Aerojet Rocketdyne), ""Monopropellant Rocket Engines"" specification sheet, doc L30612",L3Harris Technologies,2025,L3Harris Technologies,tier2_vendor,https://www.l3harris.com/sites/default/files/2025-10/l3harris-ar-monopropellant-rocket-engines.pdf,
finseth1991,"Finseth, J.L., ""Overview of Rover Engine Tests - Final Report"", NASA-CR-184270, prepared by Sverdrup Technology Inc. for Marshall Space Flight Center under contract NAS8-37814",J.L. Finseth,1991,NASA Marshall Space Flight Center,tier1_agency,https://ntrs.nasa.gov/api/citations/19920005899/downloads/19920005899.pdf,
